id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
12747317,b'No Tourists',38.0, ,85,14.62,36.71,59.95,241,614,"Nov 24, 2021",18,https://www.discogs.com/release/12747317
6826317,b'The Day Is My Enemy',40.0, ,205,39.0,52.02,78.89,581,1372,"Nov 19, 2021",48,https://www.discogs.com/release/6826317
1614916,b'Omen',5.38, ,122,4.19,5.9,12.24,345,1062,"Nov 11, 2021",23,https://www.discogs.com/release/1614916
12731655,b'No Tourists',6.0, ,183,6.6,8.12,13.99,194,1473,"Jan 3, 2022",51,https://www.discogs.com/release/12731655
12747259,b'No Tourists',11.0, ,39,5.0,11.2,15.0,69,313,"Nov 24, 2021",8,https://www.discogs.com/release/12747259
125500,b'Wondering Why',1.55, ,60,1.2,2.95,4.99,100,531,"Nov 27, 2021",37,https://www.discogs.com/release/125500
1039411,b'Shandy Pants EP',1.87, ,10,1.48,1.54,5.0,30,63,"Mar 7, 2021",20,https://www.discogs.com/release/1039411
493209,b'Remixes Vol. 3 Presents...',14.9, ,12,10.98,15.0,19.99,59,69,"Dec 28, 2021",7,https://www.discogs.com/release/493209
15202114,b'The Very Polish Cut-Outs Vol. 0',40.0, ,6,30.0,31.38,39.0,73,77,"Nov 6, 2021",1,https://www.discogs.com/release/15202114
14023541,b'The Very Polish Cut-Outs Sampler Vol. 6',12.01, ,39,9.09,14.41,20.42,122,290,"Dec 19, 2021",10,https://www.discogs.com/release/14023541
15889956,b'The Very Polish Cut-Outs Sampler Vol. 7',20.95, ,33,11.99,13.81,20.89,76,286,"Nov 13, 2021",5,https://www.discogs.com/release/15889956
18484993,b'The Very Holiday 80 Sampler',6.0, ,23,7.8,13.8,22.49,46,229,"Jan 11, 2022",15,https://www.discogs.com/release/18484993
20411992,b'The Very Polish Cut Outs Sampler vol. 8',39.0, ,2,0.0,0.0,0.0,10,33,0,2,https://www.discogs.com/release/20411992
1567850,b'Underneath The Stars',1.0, ,5,0.88,1.32,4.0,4,21,"Nov 8, 2021",10,https://www.discogs.com/release/1567850
2116325,b'Planet Rock Remixes',0.88, ,17,1.79,3.11,7.95,242,277,"Jan 7, 2022",18,https://www.discogs.com/release/2116325
38643,b'Planet Rock (Remixes)',1.74, ,39,1.2,3.0,7.0,252,244,"Jan 9, 2022",21,https://www.discogs.com/release/38643
441471,b'Crack The Crackers / Together',0.88, ,4,0.9,1.63,3.0,30,56,"Nov 7, 2021",32,https://www.discogs.com/release/441471
463019,"b'Ladies & Gentlemen, Start Your Engines Please'",1.79, ,19,2.1,3.59,7.0,34,162,"Jul 2, 2021",23,https://www.discogs.com/release/463019
376203,b'Make New Friends EP',3.99, ,20,3.5,5.4,11.4,67,205,"Feb 20, 2021",14,https://www.discogs.com/release/376203
33954,b'Fu*k The Millennium EP',1.0, ,78,0.3,9.18,19.99,144,611,"Dec 29, 2021",30,https://www.discogs.com/release/33954
4942273,b'Nanodust / Stripshow',3.0, ,7,1.5,3.32,7.2,12,26,"Apr 27, 2020",6,https://www.discogs.com/release/4942273
355729,b'Flashdance',6.01, ,36,4.99,7.79,12.99,185,342,"Jan 5, 2022",17,https://www.discogs.com/release/355729
2367912,b'She Knows You',80.0, ,15,35.0,48.47,78.06,215,49,"Jul 25, 2021",2,https://www.discogs.com/release/2367912
1316775,b'Freeze Out / Pushing Creating',1.26, ,2,0.95,1.05,1.15,7,21,"Nov 25, 2020",6,https://www.discogs.com/release/1316775
31565,b'Get It Up (Full Intention Mixes)',0.5, ,25,0.69,1.89,7.62,22,224,"Aug 17, 2021",47,https://www.discogs.com/release/31565
14981,b'E.P.',0.85, ,70,0.99,4.44,14.02,115,636,"Oct 29, 2021",34,https://www.discogs.com/release/14981
1025113,b'Inta Outa (Surge Remix) / I Wanna Get Down',1.0, ,10,0.6,1.19,6.01,32,136,"Nov 19, 2021",9,https://www.discogs.com/release/1025113
1550206,b'Jazz Note 1 / Burning',9.9, ,31,5.0,9.3,12.9,254,212,"Dec 4, 2021",4,https://www.discogs.com/release/1550206
210723,b'The Killa-Hertz',2.31, ,86,4.2,9.6,29.5,167,770,"Nov 18, 2021",29,https://www.discogs.com/release/210723
10094286,b'Insideinfo',39.95, ,13,7.5,21.89,25.2,39,83,"Sep 15, 2021",1,https://www.discogs.com/release/10094286
117702,b'Sadeness Part I',1.5, ,358,1.0,4.9,17.5,582,2772,"Jan 14, 2022",83,https://www.discogs.com/release/117702
135671,b'Homework / Discovery / Alive 1997',395.56, ,115,69.0,281.5,900.69,507,578,"Nov 26, 2021",10,https://www.discogs.com/release/135671
463062,b'Technologic',7.8, ,36,5.0,11.38,24.9,175,249,"Nov 15, 2021",10,https://www.discogs.com/release/463062
