id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
57799,"b'Wishing On A Star (""Dancin"" Danny D Remix)'",0.5,4.27,30,0.49,1.44,2.31,64,235,"May 14, 2021",75,https://www.discogs.com/release/57799
1189784,b'Find A Way',1.16,4.2,5,1.5,2.55,7.95,40,53,"Feb 18, 2021",8,https://www.discogs.com/release/1189784
431502,"b""You Can't Hide""",1.73,4 ,3,1.5,2.0,2.95,31,18,"Apr 30, 2021",7,https://www.discogs.com/release/431502
410546,b'Massive Motion',6.0,4.26,89,4.1,6.5,15.35,108,406,"Apr 27, 2021",3,https://www.discogs.com/release/410546
12695555,b'MISTRZ SZTUKI',14.0,4.25,8,0.0,0.0,0.0,2,49,0,1,https://www.discogs.com/release/12695555
6424917,b'Alive 2007',63.53,4.65,677,20.46,38.89,122.96,2635,6348,"May 10, 2021",37,https://www.discogs.com/release/6424917
56729,b'Bodyswerve',1.16,4.06,47,1.0,3.15,4.99,77,320,"Apr 25, 2021",23,https://www.discogs.com/release/56729
59690,b'Automan 2',6.0,4.55,82,3.45,8.49,13.85,405,581,"Apr 8, 2021",17,https://www.discogs.com/release/59690
217280,b'Cocomotion',0.82,4.6,52,0.5,6.49,14.0,296,340,"Mar 11, 2021",26,https://www.discogs.com/release/217280
676,b'A Little Love',2.45,3.92,36,0.87,3.31,5.76,129,194,"Jan 20, 2021",35,https://www.discogs.com/release/676
349771,b'Beats Breaks & Scratches Volume 5',0.62,4.08,12,1.0,3.25,7.0,73,127,"Aug 8, 2020",13,https://www.discogs.com/release/349771
135009,b'Rich In Paradise',1.18,4.17,65,1.96,5.44,6.99,229,497,"Apr 24, 2021",85,https://www.discogs.com/release/135009
12953039,b'Overpowered',29.49,4.81,149,28.66,31.05,35.95,472,1382,"May 6, 2021",31,https://www.discogs.com/release/12953039
8696215,b'1999',19.99,4.52,83,18.32,22.99,25.0,302,655,"May 3, 2021",15,https://www.discogs.com/release/8696215
154649,b'Big Bellied Psycho',3.5,4.11,19,2.0,3.14,8.47,96,117,"Apr 7, 2021",20,https://www.discogs.com/release/154649
2261399,b'Witness (1 Hope)',12.3,4.63,57,4.09,9.95,28.86,392,545,"Apr 7, 2021",3,https://www.discogs.com/release/2261399
7724343,b'Jungle Revolution In Dub',23.93,4.76,38,16.4,20.25,28.87,288,546,"Apr 13, 2021",3,https://www.discogs.com/release/7724343
167732,b'Botchit Breaks 2',8.2,4.3,27,3.47,15.29,51.97,204,167,"Jan 1, 2021",4,https://www.discogs.com/release/167732
492466,b'You Know All About Drags E.P.',0.57,4.21,82,0.9,1.33,4.0,60,570,"Apr 20, 2021",57,https://www.discogs.com/release/492466
1355425,b'Skyhook / The Scraper',3.28,4.58,38,2.31,7.38,10.38,89,170,"Apr 28, 2021",9,https://www.discogs.com/release/1355425
133153,b'Getcha Some More',1.0,3.82,11,0.87,1.25,3.22,18,52,"Sep 25, 2019",3,https://www.discogs.com/release/133153
94030,"b""Keep Rockin' Don't Stop No Disco""",2.89,4 ,25,0.57,2.0,3.4,42,98,"Oct 20, 2020",8,https://www.discogs.com/release/94030
9438479,b'Protection',16.9,4.6,654,16.0,18.45,24.9,879,7294,"May 26, 2021",189,https://www.discogs.com/release/9438479
17358,b'A Kitten',6.0,4.3,80,2.05,5.77,11.55,313,476,"Apr 2, 2021",15,https://www.discogs.com/release/17358
80911,b'Dooms Night (Revisited)',1.16,4.26,72,1.7,3.22,6.36,116,602,"Apr 6, 2021",43,https://www.discogs.com/release/80911
609386,"b""What's Your Number?""",0.77,3.65,17,1.21,1.64,2.97,61,174,"Apr 17, 2021",39,https://www.discogs.com/release/609386
8347,b'A Taste Of',1.0,4 ,27,1.5,2.3,4.9,24,109,"Apr 19, 2021",25,https://www.discogs.com/release/8347
60027,b'EP1',1.1,4.02,44,0.57,1.72,8.2,80,340,"Apr 24, 2021",25,https://www.discogs.com/release/60027
45346,b'Days Go By',2.0,4.08,97,2.0,3.71,10.0,228,775,"May 14, 2021",47,https://www.discogs.com/release/45346
64981,b'Ghosts',0.82,4.08,25,1.1,2.26,5.71,41,223,"Mar 6, 2021",40,https://www.discogs.com/release/64981
3554,b'Quadrastate',4.79,4.43,399,8.2,10.0,19.63,1293,2792,"May 6, 2021",40,https://www.discogs.com/release/3554
687085,b'Sweet Dreams / I Like The Way',2.71,3.78,18,4.56,6.42,9.99,93,154,"Jan 9, 2021",8,https://www.discogs.com/release/687085
995275,b'Renegade / Daft Skunk',6.56,4.29,17,5.76,6.99,10.9,76,138,"Apr 25, 2021",7,https://www.discogs.com/release/995275
145504,b'Santa Maria',0.75,4.14,7,1.73,2.83,4.9,15,43,"Apr 19, 2021",14,https://www.discogs.com/release/145504
243575,b'Outta Space (Remixes)',9.82,4.36,244,4.92,8.87,25.0,625,1393,"Apr 17, 2021",13,https://www.discogs.com/release/243575
470134,b'King Of The Bongo (Breaks Mix) / Over (DnB Mix)',12.0,4.25,101,5.0,11.55,20.5,435,623,"Apr 1, 2021",14,https://www.discogs.com/release/470134
654994,b'No Good / Horny Disco Balls',3.0,4.25,77,2.9,5.13,23.08,297,548,"Mar 27, 2021",7,https://www.discogs.com/release/654994
1026694,b'One More Time / Simon Says',8.09,4.43,42,5.0,7.68,18.99,175,274,"Apr 1, 2021",6,https://www.discogs.com/release/1026694
135212,b'Time To Shuff EP',8.2,4.32,66,3.47,16.09,20.7,537,278,"Jan 11, 2021",12,https://www.discogs.com/release/135212
898569,b'Rockstar / Game Over',0.57,3.86,99,2.0,3.22,7.63,145,757,"Apr 11, 2021",21,https://www.discogs.com/release/898569
153742,b'Tales From A Danceographic Ocean',8.0,4.75,36,6.9,13.0,20.64,231,164,"Dec 21, 2020",8,https://www.discogs.com/release/153742
1058605,b'All Eyez On Me',20.33,4.6,1037,19.67,24.38,69.69,3014,10946,"May 6, 2021",39,https://www.discogs.com/release/1058605
