id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
693854,b'Wishing On A Star',0.36, ,14,0.42,1.2,5.05,72,350,"Jan 19, 2022",70,https://www.discogs.com/release/693854
57799,"b'Wishing On A Star (""Dancin"" Danny D Remix)'",0.89, ,31,0.5,2.4,10.5,69,251,"Dec 20, 2021",72,https://www.discogs.com/release/57799
8723030,b'Hi Fi Ep     ',4.9, ,53,2.99,6.0,14.24,340,329,"Nov 14, 2021",24,https://www.discogs.com/release/8723030
934945,b'High (The Llorca Remixes)',1.0, ,26,1.2,1.81,3.0,45,164,"Dec 20, 2021",23,https://www.discogs.com/release/934945
157425,b'Can You Feel It',1.17, ,16,1.0,1.54,7.0,45,100,"Nov 20, 2021",31,https://www.discogs.com/release/157425
1414390,b'The Won / Bump Da Gunz',0.89, ,13,0.76,2.25,6.23,13,168,"Oct 13, 2020",50,https://www.discogs.com/release/1414390
1189784,b'Find A Way',1.19, ,5,1.5,2.6,7.95,39,56,"Feb 18, 2021",10,https://www.discogs.com/release/1189784
431502,"b""You Can't Hide""",1.81, ,3,1.5,2.0,2.95,31,19,"Apr 30, 2021",7,https://www.discogs.com/release/431502
410546,b'Massive Motion',1.99, ,92,4.45,9.0,20.0,118,418,"Sep 22, 2021",7,https://www.discogs.com/release/410546
12695555,b'MISTRZ SZTUKI',0.0, ,8,0.0,0.0,0.0,2,54,0,0,https://www.discogs.com/release/12695555
6424917,b'Alive 2007',100.0, ,739,22.21,100.0,300.0,3128,6992,"Jan 25, 2022",17,https://www.discogs.com/release/6424917
2703551,b'Gimme The Light',3.0, ,5,1.15,2.89,4.9,29,58,"Nov 14, 2021",11,https://www.discogs.com/release/2703551
56729,b'Bodyswerve',2.39, ,48,0.61,2.22,6.02,82,333,"Nov 9, 2021",20,https://www.discogs.com/release/56729
59690,b'Automan 2',6.0, ,83,3.6,8.7,18.03,415,595,"Jan 18, 2022",14,https://www.discogs.com/release/59690
399056,b'Sister Sister',0.61, ,7,1.5,2.17,7.0,38,85,"Mar 18, 2021",21,https://www.discogs.com/release/399056
217280,b'Cocomotion',2.67, ,52,0.54,4.0,14.0,299,350,"Jan 2, 2022",19,https://www.discogs.com/release/217280
676,b'A Little Love',1.29, ,36,0.94,3.7,6.0,134,204,"Jul 30, 2021",37,https://www.discogs.com/release/676
349771,b'Beats Breaks & Scratches Volume 5',0.67, ,13,1.0,3.75,7.0,76,136,"Sep 5, 2021",14,https://www.discogs.com/release/349771
135009,b'Rich In Paradise',1.23, ,73,1.2,2.99,6.09,241,541,"Nov 29, 2021",93,https://www.discogs.com/release/135009
12953039,b'Overpowered',29.0, ,178,17.0,31.11,36.87,536,1702,"Jan 25, 2022",59,https://www.discogs.com/release/12953039
8696215,b'1999',19.0, ,90,19.88,25.95,35.0,325,831,"Jan 20, 2022",29,https://www.discogs.com/release/8696215
45080,b'Got Myself Together',0.89, ,103,0.89,3.96,5.94,179,667,"Jan 17, 2022",84,https://www.discogs.com/release/45080
154649,b'Big Bellied Psycho',3.56, ,20,2.75,5.21,10.0,126,123,"Jan 4, 2022",13,https://www.discogs.com/release/154649
2261399,b'Witness (1 Hope)',8.9, ,59,4.44,12.02,20.0,425,569,"Dec 20, 2021",1,https://www.discogs.com/release/2261399
7724343,b'Jungle Revolution In Dub',29.55, ,39,15.57,21.08,35.0,307,565,"Jan 25, 2022",2,https://www.discogs.com/release/7724343
167732,b'Botchit Breaks 2',8.9, ,27,3.6,20.0,54.12,235,177,"Dec 29, 2021",7,https://www.discogs.com/release/167732
