id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
57799,"b'Wishing On A Star (""Dancin"" Danny D Remix)'",0.5,4.27,30,0.49,1.15,2.88,62,233,"Feb 20, 2021",76,https://www.discogs.com/release/57799
1189784,b'Find A Way',1.15,4.2,5,1.5,2.55,7.95,41,52,"Feb 18, 2021",7,https://www.discogs.com/release/1189784
431502,"b""You Can't Hide""",1.73,4 ,3,1.5,1.69,2.5,31,17,"Oct 6, 2020",8,https://www.discogs.com/release/431502
410546,b'Massive Motion',4.99,4.26,89,4.15,5.5,11.51,104,404,"Mar 6, 2021",2,https://www.discogs.com/release/410546
12695555,b'MISTRZ SZTUKI',14.0,4.25,8,0.0,0.0,0.0,2,48,0,1,https://www.discogs.com/release/12695555
6424917,b'Alive 2007',45.0,4.65,648,20.71,32.3,177.77,2529,6115,"Apr 4, 2021",49,https://www.discogs.com/release/6424917
56729,b'Bodyswerve',1.15,4.06,47,1.0,2.66,4.99,78,318,"Mar 21, 2021",21,https://www.discogs.com/release/56729
59690,b'Automan 2',7.0,4.59,81,4.61,8.53,13.82,402,580,"Jan 26, 2021",21,https://www.discogs.com/release/59690
217280,b'Cocomotion',0.89,4.6,52,0.51,6.5,14.0,292,337,"Mar 11, 2021",26,https://www.discogs.com/release/217280
676,b'A Little Love',2.48,3.92,36,0.88,3.31,5.75,128,191,"Jan 20, 2021",33,https://www.discogs.com/release/676
349771,b'Beats Breaks & Scratches Volume 5',0.62,4.08,12,1.0,3.25,7.0,72,127,"Aug 8, 2020",13,https://www.discogs.com/release/349771
135009,b'Rich In Paradise',1.15,4.16,64,1.73,3.68,6.99,223,488,"Mar 31, 2021",95,https://www.discogs.com/release/135009
12953039,b'Overpowered',30.54,4.83,145,29.01,31.12,45.65,454,1351,"Mar 20, 2021",39,https://www.discogs.com/release/12953039
8696215,b'1999',19.0,4.54,82,18.54,22.99,26.45,299,638,"Mar 25, 2021",17,https://www.discogs.com/release/8696215
154649,b'Big Bellied Psycho',2.64,4.11,18,2.0,3.0,8.47,76,114,"Jul 8, 2020",20,https://www.discogs.com/release/154649
2261399,b'Witness (1 Hope)',9.96,4.63,57,4.14,9.61,28.81,383,541,"Mar 6, 2021",4,https://www.discogs.com/release/2261399
7724343,b'Jungle Revolution In Dub',24.53,4.76,38,17.29,20.38,28.82,280,537,"Mar 18, 2021",3,https://www.discogs.com/release/7724343
167732,b'Botchit Breaks 2',8.3,4.3,27,3.46,15.37,51.87,199,165,"Jan 1, 2021",2,https://www.discogs.com/release/167732
492466,b'You Know All About Drags E.P.',0.99,4.2,81,0.9,1.33,3.0,60,565,"Mar 19, 2021",57,https://www.discogs.com/release/492466
1355425,b'Skyhook / The Scraper',3.06,4.58,38,2.31,7.49,10.37,89,169,"Feb 28, 2021",9,https://www.discogs.com/release/1355425
133153,b'Getcha Some More',1.4,3.82,11,0.86,1.25,3.21,18,52,"Sep 25, 2019",3,https://www.discogs.com/release/133153
94030,"b""Keep Rockin' Don't Stop No Disco""",2.88,4 ,25,0.57,2.0,3.4,42,98,"Oct 20, 2020",8,https://www.discogs.com/release/94030
9438479,b'Protection',16.9,4.6,643,15.95,19.02,29.99,861,7149,"Apr 4, 2021",198,https://www.discogs.com/release/9438479
17358,b'A Kitten',5.0,4.3,80,2.07,6.48,14.38,310,474,"Mar 3, 2021",17,https://www.discogs.com/release/17358
80911,b'Dooms Night (Revisited)',1.15,4.25,71,1.7,4.03,6.34,116,593,"Mar 17, 2021",41,https://www.discogs.com/release/80911
609386,"b""What's Your Number?""",0.76,3.65,17,1.22,1.66,2.97,61,173,"Mar 14, 2021",37,https://www.discogs.com/release/609386
8347,b'A Taste Of',1.59,4 ,27,0.5,2.0,4.9,24,108,"Jan 25, 2021",23,https://www.discogs.com/release/8347
60027,b'EP1',1.1,4.02,44,0.56,2.12,8.2,78,336,"Mar 18, 2021",21,https://www.discogs.com/release/60027
45346,b'Days Go By',1.73,4.1,96,1.15,2.99,10.0,223,766,"Apr 4, 2021",52,https://www.discogs.com/release/45346
64981,b'Ghosts',0.83,4.08,25,1.1,2.25,5.69,41,222,"Mar 6, 2021",40,https://www.discogs.com/release/64981
3554,b'Quadrastate',4.79,4.43,397,6.0,10.37,15.0,1276,2760,"Apr 7, 2021",46,https://www.discogs.com/release/3554
687085,b'Sweet Dreams / I Like The Way',2.68,3.78,18,4.56,6.42,9.99,93,153,"Jan 9, 2021",8,https://www.discogs.com/release/687085
995275,b'Renegade / Daft Skunk',6.64,4.29,17,5.75,7.0,10.9,75,138,"Oct 31, 2020",8,https://www.discogs.com/release/995275
145504,b'Santa Maria',0.76,4.14,7,1.73,2.82,4.0,15,43,"Mar 7, 2021",14,https://www.discogs.com/release/145504
243575,b'Outta Space (Remixes)',9.8,4.37,243,4.98,8.76,10.23,615,1385,"Mar 17, 2021",11,https://www.discogs.com/release/243575
470134,b'King Of The Bongo (Breaks Mix) / Over (DnB Mix)',12.34,4.24,99,5.0,11.53,20.75,433,619,"Mar 18, 2021",12,https://www.discogs.com/release/470134
654994,b'No Good / Horny Disco Balls',3.0,4.25,77,2.9,5.41,23.04,292,546,"Feb 10, 2021",7,https://www.discogs.com/release/654994
1026694,b'One More Time / Simon Says',8.07,4.43,42,5.0,7.77,18.99,175,270,"Mar 11, 2021",9,https://www.discogs.com/release/1026694
135212,b'Time To Shuff EP',8.3,4.32,66,3.46,16.07,20.7,535,274,"Jan 11, 2021",13,https://www.discogs.com/release/135212
898569,b'Rockstar / Game Over',0.57,3.86,98,2.0,3.16,7.79,142,749,"Mar 4, 2021",22,https://www.discogs.com/release/898569
153742,b'Tales From A Danceographic Ocean',3.6,4.75,36,6.9,13.0,20.64,221,161,"Dec 21, 2020",9,https://www.discogs.com/release/153742
1058605,b'All Eyez On Me',24.06,4.59,1031,20.75,29.05,99.99,2958,10799,"Apr 11, 2021",64,https://www.discogs.com/release/1058605
733408,b'Tunisian Nights',3.11,4 ,2,0.57,2.14,3.95,12,22,"Mar 13, 2020",10,https://www.discogs.com/release/733408
61888,b'Ich Rocke - Part One',1.0,3.73,41,1.6,3.0,4.83,57,359,"Feb 22, 2021",38,https://www.discogs.com/release/61888
464831,b'Champs Elys\xc3\xa9es (Sampler) (Part 2 Of 3)',1.15,4.17,12,0.45,2.29,8.3,62,123,"Mar 23, 2021",21,https://www.discogs.com/release/464831
339518,b'Trouble (Ltd. Edition Album Sampler 1)',1.0,4.37,27,0.97,1.99,5.0,25,224,"Feb 28, 2021",54,https://www.discogs.com/release/339518
87134,b'Vivos En La Muerte',0.35,4.17,12,0.33,1.15,5.76,42,90,"Feb 25, 2021",36,https://www.discogs.com/release/87134
21235,b'The Men On Wax E.P. Vol 1',3.5,4.21,48,1.22,4.42,9.21,148,214,"Feb 22, 2021",16,https://www.discogs.com/release/21235
427287,b'Phat Beats 181',3.0,4.83,6,1.25,3.39,4.6,45,60,"Jan 30, 2021",9,https://www.discogs.com/release/427287
397168,b'House Nation 187',2.5,4.8,5,0.9,2.31,5.76,32,85,"Mar 27, 2021",17,https://www.discogs.com/release/397168
711062,b'Phat Beats 194',0.0,4.5,10,1.0,3.94,14.57,76,52,"Feb 11, 2021",0,https://www.discogs.com/release/711062
560637,b'Phat Beats 198',2.5,4.5,4,2.25,3.48,5.91,30,37,"Feb 26, 2021",5,https://www.discogs.com/release/560637
426305,b'Phat Beats 200',3.44,3.71,7,3.46,5.62,14.82,52,43,"Feb 26, 2021",8,https://www.discogs.com/release/426305
547576,b'Phat Beats 201',1.44,5 ,3,1.15,2.88,5.76,31,41,"Feb 26, 2021",9,https://www.discogs.com/release/547576
889795,b'Phat Beats 210',8.75,5 ,6,1.49,5.87,8.75,44,41,"Jan 19, 2021",5,https://www.discogs.com/release/889795
